date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:30	68541/68541	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2004:57:18%20GMT	https://webextheme.com/html/ziptech/v2/home3.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home3.html	(from )
20:42:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202023%2015:12:31%20GMT	https://webextheme.com/robots.txt		(from )
20:42:31	1917/1917	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:47:46%20GMT	https://webextheme.com/html/ziptech/v2/images/favicon.png	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/images/favicon.png	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:33	9773/9773	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2008:45:16%20GMT	https://webextheme.com/html/ziptech/v2/css/responsive.css	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/css/responsive.css	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:33	256580/256580	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202023%2007:43:28%20GMT	https://webextheme.com/html/ziptech/v2/css/style.css	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/css/style.css	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:34	71999/71999	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2006:51:36%20GMT	https://webextheme.com/html/ziptech/v2/index.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/index.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:35	8428/8428	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:47:48%20GMT	https://webextheme.com/html/ziptech/v2/images/logo-dark.png	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/images/logo-dark.png	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:36	63724/63724	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:42:24%20GMT	https://webextheme.com/html/ziptech/v2/home2.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home2.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:37	50817/50817	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2001:15:10%20GMT	https://webextheme.com/html/ziptech/v2/home4.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home4.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:38	39022/39022	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2001:15:10%20GMT	https://webextheme.com/html/ziptech/v2/home5.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home5.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:39	61767/61767	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2001:15:10%20GMT	https://webextheme.com/html/ziptech/v2/home6.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home6.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:40	72087/72087	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2006:51:36%20GMT	https://webextheme.com/html/ziptech/v2/index-dark.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/index-dark.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:41	63819/63819	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:42:24%20GMT	https://webextheme.com/html/ziptech/v2/home2-dark.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home2-dark.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:42	68642/68642	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2006:20:26%20GMT	https://webextheme.com/html/ziptech/v2/home3-dark.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home3-dark.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:43	50928/50928	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2006:22:48%20GMT	https://webextheme.com/html/ziptech/v2/home4-dark.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home4-dark.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:44	38965/38965	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2002:00:10%20GMT	https://webextheme.com/html/ziptech/v2/home5-dark.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home5-dark.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:45	61952/61952	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2002:05:16%20GMT	https://webextheme.com/html/ziptech/v2/home6-dark.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home6-dark.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:47	75730/75730	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2007:13:58%20GMT	https://webextheme.com/html/ziptech/v2/index-rtl.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/index-rtl.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:48	64778/64778	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:42:24%20GMT	https://webextheme.com/html/ziptech/v2/home2-rtl.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home2-rtl.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
20:42:48	69226/69226	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2007:24:28%20GMT	https://webextheme.com/html/ziptech/v2/home3-rtl.html	/Users/priyapackrisamy/Sites/proppify/webextheme.com/html/ziptech/v2/home3-rtl.html	(from https://webextheme.com/html/ziptech/v2/home3.html)
